"lang"
{
"Language"	"tchinese"
"[english]StatPanel_Revenge_Close"	"You came close to your record for revenge as %s1 that round."
"StatPanel_PointsScored_Close"	"你身為 %s1 在該回合取得的分數接近記錄。"
"[english]StatPanel_PointsScored_Close"	"You came close to your record for points scored as %s1 that round."
"StatPanel_Label_Kills"	"# 殺敵數："
"[english]StatPanel_Label_Kills"	"# Kills: "
"StatPanel_Label_DamageDealt"	"造成傷害： "
"[english]StatPanel_Label_DamageDealt"	"Damage dealt: "
"StatPanel_Label_PlayTime"	"遊戲時間： "
"[english]StatPanel_Label_PlayTime"	"Play time: "
"StatPanel_Label_Healing"	"治療的生命值： "
"[english]StatPanel_Label_Healing"	"Health points healed: "
"StatPanel_Label_Invulnerable"	"啟動無敵的次數： "
"[english]StatPanel_Label_Invulnerable"	"Invulnerable activated: "
"StatPanel_Label_Backstabs"	"# 背刺： "
"[english]StatPanel_Label_Backstabs"	"# Backstabs: "
"StatPanel_Label_HealthLeached"	"竊取的生命值："
"[english]StatPanel_Label_HealthLeached"	"Health leached: "
"StatPanel_Label_Buildings_Built"	"# 建造的建築： "
"[english]StatPanel_Label_Buildings_Built"	"# Buildings built: "
"StatPanel_Label_SentryKills"	"# 步哨的殺敵數： "
"[english]StatPanel_Label_SentryKills"	"# Kills by sentry: "
"StatPanel_Label_Teleports"	"# 使用傳送次數： "
"[english]StatPanel_Label_Teleports"	"# uses of teleport: "
"StatSummary_Label_PerformanceReport"	"您的表現報告"
"[english]StatSummary_Label_PerformanceReport"	"YOUR PERFORMANCE REPORT"
"StatSummary_Label_BestMoments"	"您的最佳時刻"
"[english]StatSummary_Label_BestMoments"	"YOUR BEST MOMENTS"
"StatSummary_Label_AsAnyClass"	"所有兵種："
"[english]StatSummary_Label_AsAnyClass"	"As any class:"
"StatSummary_Label_TIP"	"提示"
"[english]StatSummary_Label_TIP"	"TIP"
"StatSummary_ScoreAsClassFmt"	"%s1 (當 %s2)"
"[english]StatSummary_ScoreAsClassFmt"	"%s1 (as %s2)"
"StatSummary_Records"	"記錄："
"[english]StatSummary_Records"	"RECORDS:"
"StatSummary_StatTitle_MostPoints"	"最多分數"
"[english]StatSummary_StatTitle_MostPoints"	"Most points"
"StatSummary_StatTitle_AvgPoints"	"平均分數"
"[english]StatSummary_StatTitle_AvgPoints"	"Avg points"
"StatSummary_StatTitle_MostKills"	"最多殺敵數"
"[english]StatSummary_StatTitle_MostKills"	"Most kills"
"StatSummary_StatTitle_AvgKills"	"平均殺敵數"
"[english]StatSummary_StatTitle_AvgKills"	"Avg kills"
"StatSummary_StatTitle_MostCaptures"	"最多佔領次數"
"[english]StatSummary_StatTitle_MostCaptures"	"Most captures"
"StatSummary_StatTitle_AvgCaptures"	"平均佔領次數"
"[english]StatSummary_StatTitle_AvgCaptures"	"Avg captures"
"StatSummary_StatTitle_MostAssists"	"最多助攻次數"
"[english]StatSummary_StatTitle_MostAssists"	"Most assists"
"StatSummary_StatTitle_AvgAssists"	"平均助攻次數"
"[english]StatSummary_StatTitle_AvgAssists"	"Avg assists"
"StatSummary_StatTitle_MostDamage"	"最大傷害"
"[english]StatSummary_StatTitle_MostDamage"	"Most damage"
"StatSummary_StatTitle_AvgDamage"	"平均傷害"
"[english]StatSummary_StatTitle_AvgDamage"	"Avg damage"
"StatSummary_StatTitle_TotalPlaytime"	"全部遊戲時間"
"[english]StatSummary_StatTitle_TotalPlaytime"	"Total playtime"
"StatSummary_StatTitle_LongestLife"	"最長存活時間"
"[english]StatSummary_StatTitle_LongestLife"	"Longest life"
"Tip_Fmt"	"提示：%s1"
"[english]Tip_Fmt"	"Tip: %s1"
"Tip_1_Count"	"16"
"[english]Tip_1_Count"	"16"
"Tip_1_1"	"身為 Scout，在半空中再跳一次可改變方向，並避開敵方火力。"
"[english]Tip_1_1"	"As a Scout, jump again in mid-air to change direction, and avoid enemy fire."
"Tip_1_2"	"身為 Scout，您奪取控制點的速度比其他兵種快上一倍。"
"[english]Tip_1_2"	"As a Scout, you capture control points twice as fast as other classes."
"Tip_1_3"	"身為 Scout，隨時保持移動，並利用速度作為優勢，即可保持最佳戰力。"
"[english]Tip_1_3"	"As a Scout, you're most effective when you stay moving and use your speed to your advantage."
"Tip_1_4"	"身為 Scout，您的雙管霰彈槍於近距離時最為致命。"
"[english]Tip_1_4"	"As a Scout, your scattergun is lethal at point blank range."
"Tip_1_5"	"身為 Scout，您的手槍是解決在遠距離敵人絕佳的選擇。"
"[english]Tip_1_5"	"As a Scout, your pistol is great for picking off enemies at a distance."
"Tip_2_Count"	"13"
"[english]Tip_2_Count"	"13"
"Tip_2_1"	"身為 Sniper，你花越多時間在用狙擊鏡做瞄準，射擊造成的傷害就越大。"
"[english]Tip_2_1"	"As a Sniper, the longer you spend zoomed in the scope, the more damage the shot will do."
"Tip_2_2"	"身為 Sniper，要瞄準頭部造成嚴重傷害。"
"[english]Tip_2_2"	"As a Sniper, aim for the head to do critical damage."
"Tip_2_3"	"身為 Sniper，可以按 %attack2% 即可使用狙擊槍的狙擊鏡來縮放目標。"
"[english]Tip_2_3"	"As a Sniper, zoom with the sniper rifle by hitting %attack2%."
"Tip_2_4"	"身為 Sniper，使用次要武器的衝鋒槍來對付近距離的敵人。"
"[english]Tip_2_4"	"As a Sniper, use your secondary submachine gun to deal with nearby enemies."
"Tip_3_Count"	"17"
"[english]Tip_3_Count"	"17"
"Tip_3_1"	"身為 Soldier，你可以在跳躍的同時朝地面射擊火箭，火箭跳躍可跳起相當的高度。"
"[english]Tip_3_1"	"As a Soldier, you can rocket jump to great heights by simultaneously jumping and firing a rocket at the ground."
"Tip_3_2"	"身為 Soldier，將火箭瞄準敵人的腳，確保他們無法避開爆炸傷害。"
"[english]Tip_3_2"	"As a Soldier, aim rockets at enemies feet to ensure they can't avoid the explosion damage."
"Tip_3_3"	"身為 Soldier，要記得隨時讓火箭發射器中有彈藥。 按 %reload% 可以裝填彈藥。"
"[english]Tip_3_3"	"As a Soldier, make sure you keep your rocket launcher loaded. Hit %reload% to reload it at any time."
"Tip_3_4"	"如果受傷，按 %voicemenu 0 0% 呼叫 Medic。 附近的 Medic 會聽到你的需求。"
"[english]Tip_3_4"	"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_4_Count"	"18"
"[english]Tip_4_Count"	"18"
"Tip_4_1"	"身為 Demoman，按 %attack% 可發射黏性炸彈，並在之後使用 %attack2% 來引爆。"
"[english]Tip_4_1"	"As a Demoman, hit %attack% to fire sticky bombs and then use %attack2% to detonate them later."
"Tip_4_2"	"身為 Demoman，你按住開火按鈕越久，射擊的距離會越長。"
"[english]Tip_4_2"	"As a Demoman, the longer you hold down the fire button, the farther the shot will go."
"Tip_4_3"	"身為 Demoman，將黏性炸彈放在你的腳下引爆，可跳起相當的高度。"
"[english]Tip_4_3"	"As a Demoman, set off sticky bombs beneath your feet to pipe bomb jump up to great heights."
"Tip_4_4"	"身為 Demoman，要將黏性炸彈射在敵人不容易察覺的牆上與天花板上。"
"[english]Tip_4_4"	"As a Demoman, shoot sticky bombs onto walls and ceilings where they're hard to spot."
"Tip_5_Count"	"22"
"[english]Tip_5_Count"	"22"
"Tip_5_1"	"身為 Medic，請使用你的醫療槍來治療隊友，並提升他們到正常生命值的 150%%。"
"[english]Tip_5_1"	"As a Medic, use your medigun to heal teammates, and buff them up to 150%% of their normal health."
"Tip_5_2"	"Medic 治療隊友即可補充 ÜberCharge。然後按 %attack2% 進入無敵狀態。"
"[english]Tip_5_2"	"As a Medic, fill your ÜberCharge by healing teammates. Then hit %attack2% to go invulnerable."
"Tip_5_3"	"身為 Medic，你的 ÜberCharge 能讓你及你的醫療槍目標在短期內進入刀槍不入狀態。"
"[english]Tip_5_3"	"As a Medic, your ÜberCharge makes both you and your medigun target invulnerable for a short time."
"Tip_5_4"	"身為 Medic，治療受傷較為嚴重的隊友，補充 ÜberCharge 的速度會較快。"
"[english]Tip_5_4"	"As a Medic, you fill your ÜberCharge faster by healing teammates who are more hurt."
"Tip_5_5"	"身為 Medic，請保持警覺，注意需要協助的隊友。 使用畫面上的 Medic 箭頭尋找隊友。"
"[english]Tip_5_5"	"As a Medic, keep alert for teammates calling for your help. Use the Medic arrows onscreen to find them."
"Tip_6_Count"	"13"
"[english]Tip_6_Count"	"13"
"Tip_6_1"	"身為 Heavy，按住 %attack2% 能讓格林機槍保持旋轉，隨時可攻擊接近而來的敵人。"
"[english]Tip_6_1"	"As a Heavy, hold %attack2% to keep your minigun spinning, ready for approaching enemies."
"Tip_6_2"	"身為 Heavy，您是 Medic 的絕佳夥伴。 站在能清楚看到 Medic 的位置，讓醫療槍的目標保持在你身上。"
"[english]Tip_6_2"	"As a Heavy, you're a great Medic buddy. Keep a clear line of sight to your Medic to keep the Medigun on you."
"Tip_6_3"	"如果受傷，按 %voicemenu 0 0% 呼叫 Medic。附近的 Medic 會聽到你的需求。"
"[english]Tip_6_3"	"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_6_4"	"身為 Heavy，你的格林機槍會耗用大量的彈藥。請撿起掉落的武器來補充。"
"[english]Tip_6_4"	"As a Heavy, your minigun chews up a lot of ammo. Pick up fallen weapons to refill your supply."
"Tip_7_Count"	"21"
"[english]Tip_7_Count"	"21"
"Tip_7_1"	"身為 Pyro，你離敵人越近，火焰噴射器就能造成越多傷害。"
"[english]Tip_7_1"	"As a Pyro, your flamethrower does more damage the closer you are to the enemy."
"Tip_7_2"	"身為 Pyro，可以埋伏突襲敵人，並在近距離範圍以火焰噴射器將他們一網打盡。利用角落的埋伏優勢。"
"[english]Tip_7_2"	"As a Pyro, ambush enemies to catch them in the short range of your flamethrower. Use corners to your advantage."
"Tip_7_3"	"Pyro 的火焰噴射器需要大量彈藥。請撿起掉落的武器來補充。"
"[english]Tip_7_3"	"As a Pyro, your flamethrower chews up a lot of ammo. Pick up fallen weapons to refill your supply."
"Tip_7_4"	"身為 Pyro，如果敵人撤退，距離大於火焰噴射器的短射程，請切換使用霰彈槍。"
"[english]Tip_7_4"	"As a Pyro, switch to your shotgun if enemies retreat beyond the short range of your flamethrower."
"Tip_7_5"	"身為 Pyro，你通常可以讓敵人著火然後撤退，讓他們被火燒死。"
"[english]Tip_7_5"	"As a Pyro, you can often set enemies on fire and retreat, leaving them to die from the burning."
"Tip_7_6"	"如果受傷，按 %voicemenu 0 0% 呼叫 Medic。附近的 Medic 會聽到你的需求。"
"[english]Tip_7_6"	"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_8_Count"	"30"
"[english]Tip_8_Count"	"30"
"Tip_8_1"	"身為 Spy，使用刀子背刺敵人，迅速殺掉他們。"
"[english]Tip_8_1"	"As a Spy, use your knife to backstab enemies from behind, killing them instantly."
"Tip_8_2"	"身為 Spy，請利用偽裝工具偽裝成敵人。 注意，發動攻擊就會解除偽裝。"
"[english]Tip_8_2"	"As a Spy, disguise yourself as an enemy with your disguise kit. Beware, attacking will remove your disguise."
"Tip_8_3"	"身為 Spy，按 %attack2% 就能隱形，並在短時間內會完全不被看到。"
"[english]Tip_8_3"	"As a Spy, hit %attack2% to cloak and become fully invisible for a short period of time."
"Tip_8_4"	"身為 Spy，使用隱形能力躲到敵人的後方，並利用偽裝技能來混進敵人之中。"
"[english]Tip_8_4"	"As a Spy, use your cloak to get behind enemy lines, and your disguise to move around amongst them."
"Tip_8_5"	"身為 Spy，偽裝時動作要和敵人一樣。 觀察敵方成員的位置，並偽裝成其中一員。"
"[english]Tip_8_5"	"As a Spy, try to act like an enemy while disguised. Observe where enemy team members are, and disguise as one of them."
"Tip_8_6"	"身為 Spy，可以在步哨防禦槍上放置電子破壞器，來摧毀防禦槍。 放置電子破壞器時是不會解除偽裝狀態。"
"[english]Tip_8_6"	"As a Spy, place your electro sappers on enemy sentry guns to destroy them. Disguises aren't lost when placing sappers."
"Tip_8_7"	"身為 Spy，你的電子破壞器能在步哨防禦槍被摧毀之前，就關閉它們的功能。 攻擊 Engineer 前請先於步哨防禦槍上放置破壞器。"
"[english]Tip_8_7"	"As a Spy, your electro sappers disable sentry guns before destroying them. Sap a sentry gun before attacking the Engineer."
"Tip_8_8"	"身為 Spy，偽裝時可以按 %voicemenu 0 0% 呼叫敵方的 Medic。"
"[english]Tip_8_8"	"As a Spy, call for enemy Medics by hitting %voicemenu 0 0% while disguised."
"Tip_9_Count"	"17"
"[english]Tip_9_Count"	"17"
"Tip_9_1"	"身為 Engineer，請使用建造工具安置步哨防禦槍、補給器及傳送裝置。"
"[english]Tip_9_1"	"As an Engineer, use the build tool to place sentry guns, dispensers, and teleporters."
"Tip_9_2"	"身為 Engineer，你需要金屬才能建造、修理並升級你的建築。 蒐集掉落的武器取得更多金屬。"
"[english]Tip_9_2"	"As an Engineer, you need metal to build, repair, and upgrade your buildings. Collect fallen weapons to get more metal."
"Tip_9_3"	"身為 Engineer，你可以使用扳手敲打步哨防禦槍，就能利用金屬為其升級。每升一級便會增加更多生命值及火力。"
"[english]Tip_9_3"	"As an Engineer, hit your sentry gun with your wrench to upgrade it with metal. Each level adds more health and firepower."
"Tip_9_4"	"身為 Engineer，請建造補給器為你的隊友提供生命值及彈藥。 補給器也能產生金屬供你使用。"
"[english]Tip_9_4"	"As an Engineer, build dispensers to provide your teammates with health and ammo. They also generate metal for you to use."
"Tip_9_5"	"身為 Engineer，請建造傳送裝置協助隊友更快抵達前線。"
"[english]Tip_9_5"	"As an Engineer, build teleporters to help your team reach the front line faster."
"Tip_9_6"	"身為 Engineer，請注意敵方 Spy 是否在己方建築中裝上電子破壞器。 使用你的扳手移除破壞器。"
"[english]Tip_9_6"	"As an Engineer, keep an eye out for enemy Spies attaching sappers to your buildings. Use your wrench to remove sappers."
"Tip_HLTV"	"你正在觀看「SourceTV 轉播」。"
"[english]Tip_HLTV"	"You are watching SourceTV."
"Tip_arena_Count"	"7"
"[english]Tip_arena_Count"	"7"
"Tip_arena_1"	"請注意畫面上方的玩家人數，才能知道你的隊伍是否居於優勢。"
"[english]Tip_arena_1"	"Keep an eye on the player count at the top of the screen to tell when your team has an advantage."
"Tip_arena_2"	"Medic 在競技場中非常重要，因為這一關沒有任何醫療包，請不計任何代價保護好他們。"
"[english]Tip_arena_2"	"With no healthkits in the level, Medics are very valuable in Arena, protect them at all costs."
"Tip_arena_3"	"地圖中央的佔領據點會在 60 秒後啟用。"
"[english]Tip_arena_3"	"The capture point in the middle of the map will be active after 60 seconds."
"Tip_arena_4"	"「競技場」模式中無法重生，千萬別死！"
"[english]Tip_arena_4"	"You don’t respawn in Arena, so don’t die!"
"Tip_arena_5"	"競技場中任何兵種都很重要，請與隊友合作，專心對抗敵方團隊。"
"[english]Tip_arena_5"	"No single class is most important in Arena, focus on countering the other team's entire composition."
"Tip_arena_6"	"在競技場模式中，你可以在大門開啟前變更兵種。"
